path,bytes,sha256,baseline_status
src/app.rs,10620,04f0df27243d8472385bd6a54a1cb0ece35ac0f4db35d1c248fc962eb9cbf9f2,unchanged
src/auth.rs,1773,a8cfd7318f814936d92eafb35917fda269a8e4c1cd671b2317db6d86cb15c76b,unchanged
src/core/action.rs,8877,6b6cce6eef1dc5c1c58b891b0e9f7f8210183e64f05d14f279757f3aeed5ca6d,unchanged
src/core/discovery.rs,14761,d6bc043c501ff8eea427d09ecec8f8a532d3bcc4c82ddf8e519f053451177c8c,edited
src/core/effect.rs,4301,bcc5690ab3caf79720b4d46c54e4a95ebae60072b60bfcdcef579a0df8595a3d,unchanged
src/core/equalizer.rs,6535,c632410c57285a0e3f0ebe2e2efcb5842c484ab4dc9c69b989cbd5b52909b780,unchanged
src/core/listening_history.rs,4194,92830b39d8a5ca215cbb8154034532e19815bbb1bec9fe3c8ae3fd0ac614f947,unchanged
src/core/lyrics.rs,11353,aaac522d6922697504ffe1574231e1a943c9092dfa355ae92f4c16f922be221f,edited
src/core/mod.rs,383,300fd9198d5f46be2464fd3535885081551807de2fe50b73a29f7499e9eaa81f,unchanged
src/core/model.rs,5798,d4648a10bac12e9a5c0d78baa542d5ada965d207062132edb8a93aea7a26848f,unchanged
src/core/queue.rs,26804,45ca5cae0d84a8a609a9683be667164c14a4a60d1203a64adf76bdf95d890486,edited
src/core/session.rs,6100,8bca104ebbd26361db7a2298dd1cf103f735af0c07703f39a113fb766721a841,unchanged
src/core/sign_in.rs,6502,847c76a93eb644b3c29404a2ee11467c4b911fb17873db1d7a27a240948869b3,unchanged
src/core/state.rs,7644,57cc94986b011b1733c533a61548b3b413f9882d7e4ac7122db350b1365b8bd7,unchanged
src/core/update/audio_controls.rs,1378,2ee97c926a3673430af57a28a50251bd23b39c8d0e644a5d1c4df81b335c835d,new
src/core/update/auth.rs,5000,7ec8a49e42a9382133dfe78f3bd3133a25c31db8eb493f43973089e921bbd3c4,new
src/core/update/library.rs,14943,b1d38e6741a4e6063b7d4692963d9567aa5b5250dfed6ce41b8571eff9576afd,new
src/core/update/library_write.rs,10836,e0ae0c3a6891b6584b8ad18a1089b4f9811cb35873e8c40cf551b17e3652e4a0,new
src/core/update/mod.rs,7531,235270aaabe2ae0729d3bdefa43868b42c62dac9d6a430ba0464b4f3b4fa4efe,new
src/core/update/navigation.rs,8460,74391d3b8dcb07f96e907b48e703eb567db3514b91474310e9f9b89ba519753f,new
src/core/update/playback.rs,12803,c6932ee75105e34f7d9ba3bcf56d5d2cf6a0e696e26286e531456a2d84aec2b4,new
src/core/update/queue_controls.rs,2123,870a2e7e9387cda01ad33864f231cbc8c6eaa39f2f6b69ad4e42fea7107e5bf2,new
src/core/update/radio.rs,2077,418009abe9551bce1b95c7d99847235315eb4d289b805c261ff8ae2d01b90b62,new
src/core/update/skins.rs,1916,b60e1bedde49803ed65c1b78ad43717a7c1ff6c821b6091682f4e1a870cae4dd,new
src/core/update/tests.rs,61221,e86bfe9a3150467191f3079ac99e6dcda2c19ca0f01d9754e464aeff30fcd3e2,new
src/fonts.rs,955,15621faf51cf6891dc0b5a9d1c964d713dbac51f1fe455a086d7c239e7e67106,unchanged
src/lib.rs,449,83c96eddabce4cd09b8cbac3d3c4d7c794896fa99714226dc980e42be8ad4682,edited
src/library_cache.rs,8556,5915afacbeb6c006e64e2cc3f41213d8950257894ce27087dbd6140285ad106e,unchanged
src/main.rs,2162,abc558da42e1d2857f0f03bdf095170f11ec22becbfe5b8c06de7512beccabd1,unchanged
src/media_keys.rs,3719,dc28806fb5828b231a1304646a4ab0810b8009a12faf87597f076c0c3aceb109,unchanged
src/menu_bar.rs,7050,b2fc82e1d49d7ac6cbbb439cff0406d99255ba8a86c64990b4968569fbe28c8b,unchanged
src/player/equalizer.rs,18920,503b15c6a8c56866c635b4578392b644aa059555551bf63a0b429b4e880e05da,edited
src/player/mod.rs,28935,3e0ef88e00b126eb87e087c3fbb91b9f5e7645bfbb1ac599fe7fcf7eec6c7382,unchanged
src/player/source.rs,26910,0700a3b5dd4b3c3cb48e5b2b97ddebd3fea4f51dc6bf3b76f62c8efd0a63d141,unchanged
src/runtime/account.rs,3922,b8f7ee129a84709c9a66f3ee47504f36b0202ce07ee34ada80a4be5d6adc39e6,new
src/runtime/cache.rs,2323,47e81f73b4a51c10b999b538ebd821de65604b030eac9749cf60d4981c2a7ccd,new
src/runtime/lyrics.rs,1136,aea292c9ee1e4fd91fc404791c52186a41373a6da7cd3a0d606dee81ba12640d,new
src/runtime/mod.rs,5078,22a5bb0142868874695dc5d853b411a88483f3d6656915902fd4f73fdb679ed3,new
src/runtime/requests.rs,8618,cd80bceff0bf8063c474962b286752cecb791003c32d303b8965ee95b4d51ca7,new
src/runtime/skins.rs,1744,62e0c5169c6027580143d6ba9896877cc22572b99c946c582cc644d931d11e07,new
src/rustypipe_client.rs,644,8680d7324c25cf12a5ef261dbf90a5cb7515465e33e07dc81c29d73a803e5eb5,new
src/skin/config.rs,16269,150734ac468a7247f2947393d79052b3acd069f4bf0a36806e2ebf5fa0b18bb7,unchanged
src/skin/font.rs,4062,6050a30da65eca7e576d9b56418928377d123255087107f07062857d099390ef,unchanged
src/skin/layout.rs,7198,65722a388052b38b3c62c3150bc27ffbd98b605d90727896b6c0a655623eae18,unchanged
src/skin/mod.rs,18168,44cb2e9201a7ac1f875b5cd31e31471d1ed8e2cd165d4d832d5e257512475415,unchanged
src/skin/sprites.rs,13798,eaf7d5b5ac6d0b00c7b5d82bc7b6bbbac7389d5717b679e7b02b567c2c594774,unchanged
